Eligibility,Agp,Arm,N_All,N,N_Uptake,N_Doses,dRisk_HZ,dC_Med_d,dQ_All_d,Thres,Prop_Uptake,Prop_Doses,Prop_Case,Prop_dQ,Prop_dC_Med,Scenario
New2023,"[65,70)",RZV_2d,2965505,640873,308563.84904958017,617127.6980991603,-33540.79224344872,-6222206.994893765,3176.6116887065577,113.0308054295381,0.502160096755813,0.502160096755813,0.5457753034638078,0.5107709318757492,0.47409072763164173,Cont_1d
SOC,"[70,75)",RZV_2d,2662322,1054369.6604547934,241451.37207275254,482902.7441455051,-22885.103071134996,-5380534.093988023,2446.146744595081,112.77679688733738,0.8951006331645196,0.8951006331645196,0.9181613813713392,0.9040895917181155,0.8840515864971527,Cont_1d
SOC,"[75,80)",RZV_2d,2423598,474087.4539202733,64457.83446899298,128915.66893798596,-5029.417944516374,-1521765.745447791,596.4907260833841,111.89220484997551,1,1,1,1,1,Cont_1d
ZVL_85,"[80,85)",ReRZV_1d,1508497,1076164.3642254202,146317.3595442511,146317.3595442511,-6843.485990188905,-2077201.2834279875,685.9099900358334,111.47310633150504,1.2381184304386554,1.1190592152193277,1.1113571085601055,1.1102882313375042,1.1582689018070136,Cont_1d
UV_85,"[80,85)",RZV_1d,1508497,432332.6357745799,58780.769754324065,58780.769754324065,-3007.465426016951,-1214606.9294384273,399.30747673787664,113.3198286238632,1.33377888164877,1.1668894408243848,1.1602945440156414,1.174493325313408,1.2508138594782152,Cont_1d
ZVL_90,"[85,90)",ReRZV_1d,940569,344866.12479836657,46888.65609583177,46888.65609583177,-2045.5922715629847,-611668.9810954224,177.17728395707385,112.53775415200629,1.4100859803395487,1.2050429901697743,1.1935803929208226,1.2029818581598062,1.2974189615834988,Cont_1d
UV_95,"[85,90)",RZV_1d,940569,595702.8752016334,80992.89910529328,80992.89910529328,-3024.684755134635,-1525033.9312875562,435.71497644581547,113.25774641779944,1.541894687602313,1.2709473438011565,1.2427980210595377,1.2730409545683026,1.4136163890783398,Cont_1d
UV_95,"[90,95)",RZV_1d,417138,417138,56714.87809345928,56714.87809345928,-1486.353939211442,-887060.0464227494,226.39420995180262,112.63472053434984,1.6341930847043322,1.3170965423521661,1.2669839516225285,1.30944313176845,1.4812044560144992,Cont_1d
UV_100,"[95,100)",RZV_1d,109064,109064,14828.549459375658,14828.549459375658,-244.41169705090203,-148900.30120223615,35.935913977947735,112.14337920259474,1.658325224143881,1.3291626120719404,1.2709610153471969,1.315221307406215,1.4925496671589484,Cont_1d
New2023,"[65,70)",RZV_2d,2965505,640873,308563.84904958017,617127.6980991603,-33540.79224344872,-6222206.994893765,3176.6116887065577,113.0308054295381,0.502160096755813,0.502160096755813,0.5457753034638078,0.5107709318757492,0.47409072763164173,Cont_2d
SOC,"[70,75)",RZV_2d,2662322,1054369.6604547934,241451.37207275254,482902.7441455051,-22885.103071134996,-5380534.093988023,2446.146744595081,112.77679688733738,0.8951006331645196,0.8951006331645196,0.9181613813713392,0.9040895917181155,0.8840515864971527,Cont_2d
SOC,"[75,80)",RZV_2d,2423598,474087.4539202733,64457.83446899298,128915.66893798596,-5029.417944516374,-1521765.745447791,596.4907260833841,111.89220484997551,1,1,1,1,1,Cont_2d
ZVL_85,"[80,85)",ReRZV_2d,1508497,1076164.3642254202,146317.3595442511,292634.7190885022,-8267.375376078828,-2498058.0479310863,826.0925668145926,102.87287818837638,1.2381184304386554,1.2381184304386554,1.1345266167828802,1.1328283440080538,1.190335383985397,Cont_2d
UV_85,"[80,85)",RZV_2d,1508497,432332.6357745799,58780.769754324065,117561.53950864813,-3403.01888367833,-1368583.0789588764,449.6271002430681,101.81575900114942,1.33377888164877,1.33377888164877,1.1899004925831869,1.2051243862987164,1.2946122986332749,Cont_2d
ZVL_90,"[85,90)",ReRZV_2d,940569,344866.12479836657,46888.65609583177,93777.31219166354,-2457.821004285403,-732544.0363200725,211.81630273607956,99.17331793796589,1.4100859803395487,1.4100859803395487,1.229894121676298,1.2391825655592212,1.3504272748123392,Cont_2d
UV_95,"[85,90)",RZV_2d,940569,595702.8752016334,80992.89910529328,161985.79821058657,-3430.1125623788057,-1718426.4488631191,489.5085632468544,96.76893872157576,1.541894687602313,1.541894687602313,1.2857088654384392,1.3178911927104864,1.481359923981926,Cont_2d
UV_95,"[90,95)",RZV_2d,417138,417138,56714.87809345928,113429.75618691856,-1684.7940387322446,-1002425.983728757,254.19456055445977,94.3340066234473,1.6341930847043322,1.6341930847043322,1.3131238105324303,1.3587634192510285,1.5577381069020435,Cont_2d
UV_100,"[95,100)",RZV_2d,109064,109064,14828.549459375658,29657.098918751315,-276.5144745309328,-167827.08421141637,40.518451174881534,93.44122757486085,1.658325224143881,1.658325224143881,1.3176232502043936,1.3652784261492064,1.5705254128427464,Cont_2d
New2023,"[65,70)",RZV_2d,2965505,640873,308563.84904958017,617127.6980991603,-33540.79224344872,-6222206.994893765,3176.6116887065577,113.0308054295381,0.502160096755813,0.502160096755813,0.5457753034638078,0.5107709318757492,0.47409072763164173,Boost_1d
SOC,"[70,75)",RZV_2d,2662322,1054369.6604547934,241451.37207275254,482902.7441455051,-22885.103071134996,-5380534.093988023,2446.146744595081,112.77679688733738,0.8951006331645196,0.8951006331645196,0.9181613813713392,0.9040895917181155,0.8840515864971527,Boost_1d
SOC,"[75,80)",RZV_2d,2423598,474087.4539202733,64457.83446899298,128915.66893798596,-5029.417944516374,-1521765.745447791,596.4907260833841,111.89220484997551,1,1,1,1,1,Boost_1d
ZVL_85,"[80,85)",ReRZV_1d,1508497,1076164.3642254202,256736.72542993142,256736.72542993142,-12499.505657825855,-3719036.277803194,1255.9399410438132,111.9669158324452,1.4178160833803624,1.208908041690181,1.2033917816857758,1.2019439821201832,1.283365792311172,Boost_1d
UV_85,"[80,85)",RZV_1d,1508497,432332.6357745799,76633.20777845594,76633.20777845594,-4049.8905156359083,-1590979.194070266,532.080702312752,114.30460501392461,1.542529782510277,1.2712648912551385,1.2692915436569057,1.2874978309332392,1.404587809576519,Boost_1d
ZVL_90,"[85,90)",ReRZV_1d,940569,344866.12479836657,46888.65609583177,46888.65609583177,-2045.5922715629847,-611668.9810954224,177.17728395707385,113.55617651749623,1.618836881201056,1.3094184406005278,1.302577392562087,1.3159863637796374,1.4511929116818025,Boost_1d
UV_95,"[85,90)",RZV_1d,940569,595702.8752016334,80992.89910529328,80992.89910529328,-3024.684755134635,-1525033.9312875562,435.71497644581547,114.17272544230292,1.7506455884638203,1.37532279423191,1.3517950207008018,1.3860454601881336,1.5673903391766437,Boost_1d
UV_95,"[90,95)",RZV_1d,417138,417138,56714.87809345928,56714.87809345928,-1486.353939211442,-887060.0464227494,226.39420995180262,113.56574142155553,1.8429439855658392,1.4214719927829196,1.3759809512637926,1.422447637388281,1.6349784061128032,Boost_1d
UV_100,"[95,100)",RZV_1d,109064,109064,14828.549459375658,14828.549459375658,-244.41169705090203,-148900.30120223615,35.935913977947735,113.10233810618742,1.8670761250053884,1.433538062502694,1.3799580149884612,1.4282258130260461,1.6463236172572524,Boost_1d
New2023,"[65,70)",RZV_2d,2965505,640873,308563.84904958017,617127.6980991603,-33540.79224344872,-6222206.994893765,3176.6116887065577,113.0308054295381,0.502160096755813,0.502160096755813,0.5457753034638078,0.5107709318757492,0.47409072763164173,Boost_2d
SOC,"[70,75)",RZV_2d,2662322,1054369.6604547934,241451.37207275254,482902.7441455051,-22885.103071134996,-5380534.093988023,2446.146744595081,112.77679688733738,0.8951006331645196,0.8951006331645196,0.9181613813713392,0.9040895917181155,0.8840515864971527,Boost_2d
SOC,"[75,80)",RZV_2d,2423598,474087.4539202733,64457.83446899298,128915.66893798596,-5029.417944516374,-1521765.745447791,596.4907260833841,111.89220484997551,1,1,1,1,1,Boost_2d
