Scenario,Age0,Age1,Arm,Year0,N0,Index,A,M,L,U
Overall,70,80,ReRZV_1d,2024,1,N0,1,1,1,1
Overall,70,80,ReRZV_1d,2024,1,dYear_Life,3.505753936697733e-4,3.45813411632534e-4,2.609022098710945e-4,4.608518014044271e-4
Overall,70,80,ReRZV_1d,2024,1,dYear_Immunised,6.959579313061739,6.9643282746314785,5.943285544195019,8.117354695503842
Overall,70,80,ReRZV_1d,2024,1,dRisk_HZ,-0.06187870214025078,-0.06194149718069603,-0.07258967372294807,-0.052253406505685336
Overall,70,80,ReRZV_1d,2024,1,dRisk_Hosp,-0.0025854114953393304,-0.002561666149657712,-0.0034981669312690454,-0.0018937176992498343
Overall,70,80,ReRZV_1d,2024,1,dRisk_PHN,-0.005027348354623277,-0.005011697748544262,-0.0060916448730271334,-0.004061415849398096
Overall,70,80,ReRZV_1d,2024,1,dRisk_Death,-5.119476647361938e-5,-4.996822993817449e-5,-7.408632244766783e-5,-3.4928805924405596e-5
Overall,70,80,ReRZV_1d,2024,1,dQ_Life,2.4238259541691586e-4,2.396756631917185e-4,1.8148816092091737e-4,3.160930913280069e-4
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ,0.00872634183741801,0.00869002147740399,0.007012922908181827,0.010686168420718104
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_Norm,0.002852067690833472,0.002839179629140735,0.002325667984652611,0.003443969899506184
Overall,70,80,ReRZV_1d,2024,1,dQ_All,0.008965902891928787,0.008922667053036015,0.007218328133529495,0.010993611539130121
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_d,0.007574591771576577,0.00754054356804518,0.006164952738099317,0.009201149844910567
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_Norm_d,0.0025002222390357394,0.0024899009864265418,0.0020590099937053217,0.0029865952113409355
Overall,70,80,ReRZV_1d,2024,1,dQ_Life_d,1.838457978608119e-4,1.8230093439264294e-4,1.3888958832213304e-4,2.371110976672419e-4
Overall,70,80,ReRZV_1d,2024,1,dQ_All_d,0.007758437569437369,0.0077218320554175435,0.006314351410305718,0.009429667424493448
Overall,70,80,ReRZV_1d,2024,1,dC_Hosp,-10.961225408609053,-10.850218176145852,-15.204151405387261,-7.86481602801735
Overall,70,80,ReRZV_1d,2024,1,dC_GP_NonPHN,-6.949557021001657,-6.956054687482772,-8.13047065755227,-5.895296810700108
Overall,70,80,ReRZV_1d,2024,1,dC_GP_PHN,-2.756197937325886,-2.7494888132264963,-3.335298982397906,-2.2122574650048525
Overall,70,80,ReRZV_1d,2024,1,dC_GP,-9.705754958327542,-9.722910379269683,-11.432295759155581,-8.126920724578211
Overall,70,80,ReRZV_1d,2024,1,dC_Med,-20.666980366936595,-20.567302693906186,-26.216662061422802,-16.316675595889095
Overall,70,80,ReRZV_1d,2024,1,dC_VacZVL,110,110,110,110
Overall,70,80,ReRZV_1d,2024,1,dC_VacRZV,68.66176051230245,68.66176131453554,68.66161006849713,68.661898624813
Overall,70,80,ReRZV_1d,2024,1,dC_Vac,178.66176051230246,178.66176131453554,178.6616100684971,178.66189862481298
Overall,70,80,ReRZV_1d,2024,1,dC_All,157.99478014536587,158.09449744168361,152.44515143956224,162.3451742251875
Overall,70,80,ReRZV_1d,2024,1,dC_Hosp_d,-8.98257864132325,-8.904690911255512,-12.201362618408478,-6.501294464131261
Overall,70,80,ReRZV_1d,2024,1,dC_GP_NonPHN_d,-6.094302091308812,-6.097992180974505,-7.033296109587459,-5.228788126092041
Overall,70,80,ReRZV_1d,2024,1,dC_GP_PHN_d,-2.383917137725884,-2.3786296340883633,-2.8600826646492274,-1.9331247835045338
Overall,70,80,ReRZV_1d,2024,1,dC_GP_d,-8.478219229034696,-8.489052692614138,-9.848972320396518,-7.184090929504476
Overall,70,80,ReRZV_1d,2024,1,dC_Med_d,-17.460797870357947,-17.41431599991293,-21.683025692324097,-14.000969660561136
Overall,70,80,ReRZV_1d,2024,1,dC_VacZVL_d,110,110,110,110
Overall,70,80,ReRZV_1d,2024,1,dC_VacRZV_d,59.16358910580724,59.163589797065214,59.16345947330998,59.16370811283188
Overall,70,80,ReRZV_1d,2024,1,dC_Vac_d,169.16358910580723,169.1635897970652,169.16345947330996,169.16370811283184
Overall,70,80,ReRZV_1d,2024,1,dC_All_d,151.7027912354493,151.74928934294235,147.4806182382478,155.16254093778602
Overall,70,80,ReRZV_1d,2024,1,dN_VacZVL,1,1,1,1
Overall,70,80,ReRZV_1d,2024,1,dN_VacRZV,0.8077854177917936,0.8077854272298299,0.8077836478646722,0.8077870426448589
Overall,70,80,ReRZV_1d,2024,1,dN_VacZVL_d,1,1,1,1
Overall,70,80,ReRZV_1d,2024,1,dN_VacRZV_d,0.6960422247742029,0.6960422329066496,0.6960406996859997,0.6960436248568456
Overall,70,80,ReRZV_1d,2024,1,ICER,19780.449698888737,19638.2297845122,15794.943956715792,24436.564284859876
Overall,70,80,ReRZV_1d,2024,1,Price0,85,85,84.99999999999999,85.00000000000001
Overall,70,80,ReRZV_1d,2024,1,Thres20,248.01591413359344,247.04325798402235,202.73302185697725,299.81812720868726
Overall,70,80,ReRZV_1d,2024,1,Thres30,359.4809555790014,357.94585997635613,293.46850138494983,435.89108582218483
