Price,Arm,PrCE20,PrCE30
0,Vac1,1,1
5,Vac1,1,1
10,Vac1,1,1
15,Vac1,1,1
20,Vac1,1,1
25,Vac1,1,1
30,Vac1,1,1
35,Vac1,1,1
40,Vac1,1,1
45,Vac1,1,1
50,Vac1,1,1
55,Vac1,1,1
60,Vac1,1,1
65,Vac1,1,1
70,Vac1,0.9995,1
75,Vac1,0.997,1
80,Vac1,0.995,1
85,Vac1,0.9845,1
90,Vac1,0.975,1
95,Vac1,0.959,1
100,Vac1,0.934,0.9995
105,Vac1,0.902,0.9985
110,Vac1,0.8625,0.997
115,Vac1,0.814,0.9965
120,Vac1,0.757,0.9905
125,Vac1,0.7025,0.982
130,Vac1,0.631,0.9755
135,Vac1,0.565,0.9695
140,Vac1,0.4945,0.954
145,Vac1,0.433,0.935
150,Vac1,0.3715,0.916
155,Vac1,0.322,0.887
160,Vac1,0.268,0.8605
165,Vac1,0.2195,0.829
170,Vac1,0.182,0.79
175,Vac1,0.149,0.7545
180,Vac1,0.1175,0.716
185,Vac1,0.0935,0.6675
190,Vac1,0.076,0.62
195,Vac1,0.06,0.574
200,Vac1,0.0455,0.5245
205,Vac1,0.033,0.483
210,Vac1,0.023,0.437
215,Vac1,0.0175,0.3975
220,Vac1,0.012,0.359
225,Vac1,0.0095,0.3225
230,Vac1,0.009,0.285
235,Vac1,0.006,0.2485
240,Vac1,0.005,0.2185
245,Vac1,0.002,0.193
250,Vac1,0.001,0.172
255,Vac1,0.001,0.147
260,Vac1,0,0.123
265,Vac1,0,0.1035
270,Vac1,0,0.09
275,Vac1,0,0.0795
280,Vac1,0,0.066
285,Vac1,0,0.055
290,Vac1,0,0.046
295,Vac1,0,0.036
300,Vac1,0,0.0285
0,Vac2,1,1
5,Vac2,1,1
10,Vac2,1,1
15,Vac2,1,1
20,Vac2,1,1
25,Vac2,1,1
30,Vac2,1,1
35,Vac2,1,1
40,Vac2,1,1
45,Vac2,1,1
50,Vac2,0.9995,1
55,Vac2,0.9965,1
60,Vac2,0.985,1
65,Vac2,0.9695,1
70,Vac2,0.9295,1
75,Vac2,0.858,0.999
80,Vac2,0.7735,0.9965
85,Vac2,0.672,0.9905
90,Vac2,0.5515,0.9795
95,Vac2,0.4265,0.968
100,Vac2,0.3205,0.937
105,Vac2,0.2215,0.899
110,Vac2,0.1505,0.8485
115,Vac2,0.095,0.7945
120,Vac2,0.056,0.725
125,Vac2,0.027,0.6425
130,Vac2,0.0145,0.56
135,Vac2,0.009,0.4765
140,Vac2,0.0035,0.3985
145,Vac2,5e-4,0.323
150,Vac2,5e-4,0.2525
155,Vac2,0,0.197
160,Vac2,0,0.1475
165,Vac2,0,0.1105
170,Vac2,0,0.076
175,Vac2,0,0.0525
180,Vac2,0,0.032
185,Vac2,0,0.0185
190,Vac2,0,0.0125
195,Vac2,0,0.009
200,Vac2,0,0.0065
205,Vac2,0,0.003
210,Vac2,0,5e-4
215,Vac2,0,5e-4
220,Vac2,0,0
225,Vac2,0,0
230,Vac2,0,0
235,Vac2,0,0
240,Vac2,0,0
245,Vac2,0,0
250,Vac2,0,0
255,Vac2,0,0
260,Vac2,0,0
265,Vac2,0,0
270,Vac2,0,0
275,Vac2,0,0
280,Vac2,0,0
285,Vac2,0,0
290,Vac2,0,0
295,Vac2,0,0
300,Vac2,0,0
