Age,Class,Full1d,Full2d,Sole2d,Mar2d
60,Unvaccinated,398.3015737911452,411.70890255838617,205.85445127919309,13.407328767240983
65,Unvaccinated,382.6116033932117,395.85012708430344,197.92506354215172,13.238523691091757
70,Unvaccinated,356.07650824234827,368.0629029618407,184.03145148092034,11.98639471949241
75,Unvaccinated,316.57345165036423,326.5177059170462,163.2588529585231,9.94425426668198
80,Unvaccinated,265.52890670949523,272.9980520966912,136.4990260483456,7.469145387195965
80,ZVL@70,220.4854853985888,230.23578544661916,115.11789272330958,9.750300048030368
85,Unvaccinated,207.32822072744693,213.5432048113377,106.77160240566884,6.214984083890755
85,ZVL@70,176.27309359407326,182.62810505692897,91.31405252846449,6.355011462855714
90,Unvaccinated,151.08757295486845,155.42335051078976,77.71167525539488,4.335777555921311
90,ZVL@70,124.33272616863917,128.46855792938777,64.23427896469389,4.1358317607486015
95,Unvaccinated,97.99544461984837,100.71476432297885,50.357382161489426,2.7193197031304805
95,ZVL@70,73.99182850721434,76.49567550874697,38.247837754373485,2.503847001532634
