Scenario,Age0,Age1,Arm,Year0,N0,Index,A,M,L,U
Overall,70,80,ReRZV_1d,2024,1,N0,1,1,1,1
Overall,70,80,ReRZV_1d,2024,1,dYear_Life,5.702141062070094e-4,5.699458913586142e-4,4.7383949570738436e-4,6.676679820350806e-4
Overall,70,80,ReRZV_1d,2024,1,dYear_Immunised,9.848486452587897,9.884971067050074,8.87834745344731,10.600693900226293
Overall,70,80,ReRZV_1d,2024,1,dRisk_HZ,-0.08854915265257662,-0.08887353722213773,-0.09586803279190437,-0.07920328511888322
Overall,70,80,ReRZV_1d,2024,1,dRisk_Hosp,-0.0043362462803922695,-0.00431263811363443,-0.005198129464003868,-0.0035565391501270094
Overall,70,80,ReRZV_1d,2024,1,dRisk_PHN,-0.007345402830333872,-0.007360615365269497,-0.008233860624219685,-0.006392453621115169
Overall,70,80,ReRZV_1d,2024,1,dRisk_Death,-9.36240162838124e-5,-9.339250912188793e-5,-1.1256058887719521e-4,-7.525959073404789e-5
Overall,70,80,ReRZV_1d,2024,1,dQ_Life,3.9038963508086154e-4,3.9014150977934037e-4,3.2426224727153394e-4,4.567001771985879e-4
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ,0.012706930603558042,0.012708613311798,0.010714230009721751,0.014741400555323232
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_Norm,0.004049620915960606,0.004051371024113899,0.0034325814954158642,0.00471206330680237
Overall,70,80,ReRZV_1d,2024,1,dQ_All,0.013090737134187434,0.013096171850376592,0.011055140369658156,0.015143655471612493
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_d,0.01075487391658007,0.010764380512021481,0.009121418591434036,0.01242967977422242
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_Norm_d,0.0034651624121197033,0.0034640157162877955,0.0029493447378733757,0.004018146549961374
Overall,70,80,ReRZV_1d,2024,1,dQ_Life_d,2.913844785776449e-4,2.9128633669817106e-4,2.4364174924014213e-4,3.399946765081818e-4
Overall,70,80,ReRZV_1d,2024,1,dQ_All_d,0.011046258395157682,0.011051334664297308,0.009397139875276706,0.012725001561877966
Overall,70,80,ReRZV_1d,2024,1,dC_Hosp,-18.764942687817513,-18.702730333460735,-22.69559282610661,-15.186045969518776
Overall,70,80,ReRZV_1d,2024,1,dC_GP_NonPHN,-9.843209196696787,-9.877352748600053,-10.682872046930317,-8.835390725895211
